 0.0 998.0
998.0  0.00 0.00 998.0
Tiempo // Temperatura DHT11-DHT22-HTU21 // Humedad DHT11-DHT22-HTU21
0 0.00 0.00 998.0  0.00 0.00 998.0
0 0.00 0.00 998.0  0.00 0.00 998.0
1 0.00 0.00 998.0  0.00 0.00 998.0
1 0.00 0.00 998.0  0.00 0.00 998.0
1 0.00 0.00 998.0  0.00 0.00 998.0
2 0.00 0.00 998.0  0.00 0.00 998.0
2 0.00 0.00 998.0  0.00 0.00 998.0
3 0.00 0.00 998.0  0.00 0.00 998.0
3 0.00 0.00 998.0  0.00 0.00 998.0
4 0.00 0.00 998.0  0.00 0.00 998.0
4 0.00 0.00 998.0  0.00 0.00 998.0
4 0.00 0.00 998.0  0.00 0.00 998.0
5 0.00 0.00 998.0  0.00 0.00 998.0
5 0.00 0.00 998.0  0.00 0.00 998.0
6 0.00 0.00 998.0  0.00 0.00 998.0
6 0.00 0.00 998.0  0.00 0.00 998.0
7 0.00 0.00 998.0  0.00 0.00 998.0
7 0.00 0.00 998.0  0.00 0.00 998.0
7 0.00 0.00 998.0  0.00 0.00 998.0
8 0.00 0.00 998.0  0.00 0.00 998.0
8 0.00 0.00 998.0  0.00 0.00 998.0
9 0.00 0.00 998.0  0.00 0.00 998.0
9 0.00 0.00 998.0  0.00 0.00 998.0
10 0.00 0.00 998.0  0.00 0.00 998.0
10 0.00 0.00 998.0  0.00 0.00 998.0
10 0.00 0.00 998.0  0.00 0.00 998.0
11 0.00 0.00 998.0  0.00 0.00 998.0
11 0.00 0.00 998.0  0.00 0.00 998.0
12 0.00 0.00 998.0  0.00 0.00 998.0
12 0.00 0.00 998.0  0.00 0.00 998.0
12 0.00 0.00 998.0  0.00 0.00 998.0
13 0.00 0.00 998.0  0.00 0.00 998.0
13 0.00 0.00 998.0  0.00 0.00 998.0
14 0.00 0.00 998.0  0.00 0.00 998.0
14 0.00 0.00 998.0  0.00 0.00 998.0
15 0.00 0.00 998.0  0.00 0.00 998.0
15 0.00 0.00 998.0  0.00 0.00 998.0
15 0.00 0.00 998.0  0.00 0.00 998.0
16 0.00 0.00 998.0  0.00 0.00 998.0
16 0.00 0.00 998.0  0.00 0.00 998.0
17 0.00 0.00 998.0  0.00 0.00 998.0
17 0.00 0.00 998.0  0.00 0.00 998.0
18 0.00 0.00 998.0  0.00 0.00 998.0
18 0.00 0.00 998.0  0.00 0.00 998.0
18 0.00 0.00 998.0  0.00 0.00 998.0
19 0.00 0.00 998.0  0.00 0.00 998.0
19 0.00 0.00 998.0  0.00 0.00 998.0
20 0.00 0.00 998.0  0.00 0.00 998.0
20 0.00 0.00 998.0  0.00 0.00 998.0
21 0.00 0.00 998.0  0.00 0.00 998.0
21 0.00 0.00 998.0  0.00 0.00 998.0
21 0.00 0.00 998.0  0.00 0.00 998.0
22 0.00 0.00 998.0  0.00 0.00 998.0
22 0.00 0.00 998.0  0.00 0.00 998.0
